date,series_id,value,realtime_start,realtime_end
2000-01-01,PCENDC96,NA,2024-03-13,2024-03-13
2000-04-01,PCENDC96,NA,2024-03-13,2024-03-13
2000-07-01,PCENDC96,NA,2024-03-13,2024-03-13
2000-10-01,PCENDC96,NA,2024-03-13,2024-03-13
2001-01-01,PCENDC96,NA,2024-03-13,2024-03-13
2001-04-01,PCENDC96,NA,2024-03-13,2024-03-13
2001-07-01,PCENDC96,NA,2024-03-13,2024-03-13
2001-10-01,PCENDC96,NA,2024-03-13,2024-03-13
2002-01-01,PCENDC96,NA,2024-03-13,2024-03-13
2002-04-01,PCENDC96,NA,2024-03-13,2024-03-13
2002-07-01,PCENDC96,NA,2024-03-13,2024-03-13
2002-10-01,PCENDC96,NA,2024-03-13,2024-03-13
2003-01-01,PCENDC96,NA,2024-03-13,2024-03-13
2003-04-01,PCENDC96,NA,2024-03-13,2024-03-13
2003-07-01,PCENDC96,NA,2024-03-13,2024-03-13
2003-10-01,PCENDC96,NA,2024-03-13,2024-03-13
2004-01-01,PCENDC96,NA,2024-03-13,2024-03-13
2004-04-01,PCENDC96,NA,2024-03-13,2024-03-13
2004-07-01,PCENDC96,NA,2024-03-13,2024-03-13
2004-10-01,PCENDC96,NA,2024-03-13,2024-03-13
2005-01-01,PCENDC96,NA,2024-03-13,2024-03-13
2005-04-01,PCENDC96,NA,2024-03-13,2024-03-13
2005-07-01,PCENDC96,NA,2024-03-13,2024-03-13
2005-10-01,PCENDC96,NA,2024-03-13,2024-03-13
2006-01-01,PCENDC96,NA,2024-03-13,2024-03-13
2006-04-01,PCENDC96,NA,2024-03-13,2024-03-13
2006-07-01,PCENDC96,NA,2024-03-13,2024-03-13
2006-10-01,PCENDC96,NA,2024-03-13,2024-03-13
2007-01-01,PCENDC96,2435,2024-03-13,2024-03-13
2007-04-01,PCENDC96,2429.9,2024-03-13,2024-03-13
2007-07-01,PCENDC96,2437.5,2024-03-13,2024-03-13
2007-10-01,PCENDC96,2435.5,2024-03-13,2024-03-13
2008-01-01,PCENDC96,2416.6,2024-03-13,2024-03-13
2008-04-01,PCENDC96,2420.4,2024-03-13,2024-03-13
2008-07-01,PCENDC96,2385.1,2024-03-13,2024-03-13
2008-10-01,PCENDC96,2362.3,2024-03-13,2024-03-13
2009-01-01,PCENDC96,2361.4,2024-03-13,2024-03-13
2009-04-01,PCENDC96,2347.3,2024-03-13,2024-03-13
2009-07-01,PCENDC96,2354.7,2024-03-13,2024-03-13
2009-10-01,PCENDC96,2362.3,2024-03-13,2024-03-13
2010-01-01,PCENDC96,2374.8,2024-03-13,2024-03-13
2010-04-01,PCENDC96,2387.9,2024-03-13,2024-03-13
2010-07-01,PCENDC96,2396.8,2024-03-13,2024-03-13
2010-10-01,PCENDC96,2414.6,2024-03-13,2024-03-13
2011-01-01,PCENDC96,2422.7,2024-03-13,2024-03-13
2011-04-01,PCENDC96,2417.5,2024-03-13,2024-03-13
2011-07-01,PCENDC96,2409.3,2024-03-13,2024-03-13
2011-10-01,PCENDC96,2408.7,2024-03-13,2024-03-13
2012-01-01,PCENDC96,2426.3,2024-03-13,2024-03-13
2012-04-01,PCENDC96,2423.6,2024-03-13,2024-03-13
2012-07-01,PCENDC96,2424.8,2024-03-13,2024-03-13
2012-10-01,PCENDC96,2424.8,2024-03-13,2024-03-13
2013-01-01,PCENDC96,2461.5,2024-03-13,2024-03-13
2013-04-01,PCENDC96,2463.7,2024-03-13,2024-03-13
2013-07-01,PCENDC96,2482.7,2024-03-13,2024-03-13
2013-10-01,PCENDC96,2506.7,2024-03-13,2024-03-13
2014-01-01,PCENDC96,2514.7,2024-03-13,2024-03-13
2014-04-01,PCENDC96,2540.3,2024-03-13,2024-03-13
2014-07-01,PCENDC96,2561.8,2024-03-13,2024-03-13
2014-10-01,PCENDC96,2592.4,2024-03-13,2024-03-13
2015-01-01,PCENDC96,2618.2,2024-03-13,2024-03-13
2015-04-01,PCENDC96,2634,2024-03-13,2024-03-13
2015-07-01,PCENDC96,2661.6,2024-03-13,2024-03-13
2015-10-01,PCENDC96,2671.7,2024-03-13,2024-03-13
2016-01-01,PCENDC96,2696.6,2024-03-13,2024-03-13
2016-04-01,PCENDC96,2720.4,2024-03-13,2024-03-13
2016-07-01,PCENDC96,2729,2024-03-13,2024-03-13
2016-10-01,PCENDC96,2733.6,2024-03-13,2024-03-13
2017-01-01,PCENDC96,2759.5,2024-03-13,2024-03-13
2017-04-01,PCENDC96,2785.8,2024-03-13,2024-03-13
2017-07-01,PCENDC96,2801.8,2024-03-13,2024-03-13
2017-10-01,PCENDC96,2838.1,2024-03-13,2024-03-13
2018-01-01,PCENDC96,2858.9,2024-03-13,2024-03-13
2018-04-01,PCENDC96,2860.7,2024-03-13,2024-03-13
2018-07-01,PCENDC96,2870,2024-03-13,2024-03-13
2018-10-01,PCENDC96,2889.7,2024-03-13,2024-03-13
2019-01-01,PCENDC96,2910.9,2024-03-13,2024-03-13
2019-04-01,PCENDC96,2946.1,2024-03-13,2024-03-13
2019-07-01,PCENDC96,2975.2,2024-03-13,2024-03-13
2019-10-01,PCENDC96,2974.8,2024-03-13,2024-03-13
2020-01-01,PCENDC96,3019,2024-03-13,2024-03-13
